Country,Year,Status of country,Life Expectancy ,Adult Mortality,Infant Deaths,Alcohol,Hepatitis B,Measles , BMI ,Under-five Deaths ,Polio,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of country resources,Schooling
Australia,2000,Developed,79.5,78,1,10.17,,108,58.2,2,9,9,0.1,2169.921,19153,,0.7,0.897,
Austria,2015,Developed,81.5,65,0,,93,309,57.6,0,93,93,0.1,43665.947,8633169,,2.1,0.892,
Austria,2014,Developed,81.4,66,0,12.32,98,117,57.1,0,98,98,0.1,51322.63997,8541575,,2,0.892,
Austria,2013,Developed,81.1,68,0,11.82,95,0,56.6,0,95,95,0.1,554.71532,8479375,,2,0.887,
Austria,2012,Developed,88,7,0,12.26,92,36,56.1,0,92,92,0.1,48333.57273,8429991,,2,0.884,
Austria,2011,Developed,88,73,0,12.04,89,68,55.7,0,89,89,0.1,51126.74139,8391643,,2,0.88,
Austria,2010,Developed,84,75,0,12.1,86,52,55.2,0,86,86,0.1,46657.629,836344,,1.9,0.872,
Austria,2009,Developed,82,77,0,11.3,83,49,54.7,0,83,83,0.1,47654.18721,8343323,,1.9,0.87,
Austria,2008,Developed,84,76,0,12,83,448,54.2,0,83,83,0.1,51386.37665,8321496,,1.9,0.864,
Austria,2007,Developed,81,8,0,12.5,85,20,53.7,0,85,85,0.1,46586.6525,8295487,,1.9,0.86,
Austria,2006,Developed,79.8,81,0,12.4,83,23,53.2,0,83,83,0.1,443.99361,8268641,,1.9,0.854,
Austria,2005,Developed,79.4,85,0,12.4,86,9,52.7,0,86,86,0.1,38242.4252,8227829,,1.9,0.848,
Austria,2004,Developed,79.3,86,0,12.1,83,15,52.2,0,83,83,0.1,36693.4262,8171966,,1.9,0.841,
Austria,2003,Developed,78.8,88,0,12.2,83,90,51.7,0,84,84,0.1,3212.9355,8121423,,1.9,0.837,
Austria,2002,Developed,78.7,9,0,12.5,81,0,51.2,0,82,83,0.1,26351.37568,881957,,1.9,0.847,
Austria,2001,Developed,78.6,92,0,12.4,44,0,5.6,0,83,84,0.1,24489.73553,842293,,1.9,0.837,
Austria,2000,Developed,78.1,96,0,13.2,33,0,5.1,0,71,81,0.1,24517.26745,811566,,1.9,0.833,
Bahamas,2015,Developing,76.1,147,0,,95,0,64.5,0,95,95,0.1,,,,2.5,0.79,
Bahamas,2014,Developing,75.4,16,0,9.45,96,0,63.8,0,96,96,0.1,,,,2.5,0.789,
Bahamas,2013,Developing,74.8,172,0,9.42,97,0,63.2,0,97,97,0.1,,,,2.5,0.79,
Bahamas,2012,Developing,74.9,167,0,9.5,96,0,62.6,0,99,98,0.2,,,,2.5,0.789,
Bahamas,2011,Developing,75,162,0,9.34,95,0,62,0,97,98,0.1,,,,2.5,0.788,
Bahamas,2010,Developing,75,161,0,9.19,98,0,61.3,0,97,99,0.2,,,,2.5,0.788,
Bahamas,2009,Developing,74.6,168,0,9.29,95,0,6.7,0,97,96,0.1,,,,2.5,0.791,
Bahamas,2008,Developing,74.5,167,0,10.15,9,0,6.1,0,93,93,0.1,,,,2.5,0.791,
Bahamas,2007,Developing,74.4,167,0,10.75,93,0,59.4,0,95,95,0.1,,,,2.5,0.79,
Bahamas,2006,Developing,74.2,171,0,11.07,96,0,58.7,0,94,95,0.1,,,,2.5,0.788,
Bahamas,2005,Developing,74.1,172,0,10.49,93,0,58.1,0,93,93,0.1,,,,2.5,0.786,
Bahamas,2004,Developing,73.8,174,0,10.1,93,0,57.4,0,92,93,0.1,,,,,0.784,
Bahamas,2003,Developing,73.2,189,0,10.68,88,0,56.7,0,93,92,0.1,,,,,0.783,
Bahamas,2002,Developing,73.1,19,0,10.85,89,0,56,0,93,94,0.1,,,,,0.781,
Bahamas,2001,Developing,72.9,189,0,11.64,21,0,55.2,0,98,99,0.2,,,,,0.779,
Bahamas,2000,Developing,72.6,192,0,12.15,,0,54.4,0,91,99,0.1,,,,,0,
Bangladesh,2015,Developing,71.8,129,92,,97,240,18.3,113,97,97,0.1,121.15812,1612886,,,0.575,
Bangladesh,2014,Developing,71.4,132,98,0.01,97,289,17.7,121,97,97,0.1,184.56543,15945279,,,0.57,
Bangladesh,2013,Developing,71,135,104,0.01,96,237,17,130,96,96,0.1,951.8894535,157571292,,,0.565,
Bangladesh,2012,Developing,77,137,111,0.01,94,1986,16.4,139,94,94,0.1,856.342857,15572753,,,0.557,
Bangladesh,2011,Developing,73,14,118,0.01,96,5625,15.8,150,96,96,0.1,835.789341,153911916,,,0.545,9.4
Bangladesh,2010,Developing,69.9,142,126,0.01,94,788,15.2,161,94,94,0.1,757.6717572,15214912,,,0.535,8.9
Bangladesh,2009,Developing,69.5,144,135,0.01,97,718,14.6,173,97,97,0.1,681.125368,1545478,,,0.523,8.4
Bangladesh,2008,Developing,69.1,147,144,0.01,96,2660,14,186,96,96,0.1,615.7775411,14885814,,,0.52,8.6
Bangladesh,2007,Developing,68.6,151,154,0.01,95,2924,13.5,201,96,94,0.1,541.651484,147139191,,,0.513,8.6
Bangladesh,2006,Developing,68.2,152,164,0.01,86,6192,13,215,95,94,0.1,494.51466,1453684,,,0.506,8.4
Bangladesh,2005,Developing,67.8,155,174,0.01,45,25934,12.5,231,94,93,0.1,484.155471,14343111,,,0.499,8.2
Bangladesh,2004,Developing,67.3,158,185,0.01,11,9743,12,247,88,99,0.1,46.7579167,14137489,,,0.491,8.1
Bangladesh,2003,Developing,66.8,161,196,0.01,5,4067,11.6,264,9,87,0.1,432.7388972,139191,,,0.484,7.9
Bangladesh,2002,Developing,66.3,164,207,0.01,,3484,11.2,280,83,83,0.1,4.6135745,1366667,,,0.476,7.7
Bangladesh,2001,Developing,65.8,168,219,0.01,,4414,1.8,298,85,85,0.1,42.5981152,1341716,,,0.468,7.5
Bangladesh,2000,Developing,65.3,173,231,0.01,,5098,1.4,316,83,82,0.1,45.63371,131581243,,,0.459,7.3
Belgium,2015,Developed,81.1,74,0,,98,47,63.7,1,99,99,0.1,4356.875,11274196,,,0.895,16.6
Belgium,2014,Developed,89,76,0,12.6,98,70,63.4,1,99,99,0.1,47439.39684,112957,,,0.89,16.3
Belgium,2013,Developed,87,77,0,11.77,98,39,63,1,99,99,0.1,4651.38647,11182817,,,0.889,16.3
Belgium,2012,Developed,83,78,0,10.08,98,109,62.6,1,99,99,0.1,4474.5717,11128246,,,0.886,16.2
Belgium,2011,Developed,83,8,0,10.11,97,576,62.3,1,98,98,0.1,4772.77415,1147744,,,0.884,16.1
Belgium,2010,Developed,80,81,0,10.22,97,40,61.9,1,98,98,0.1,4438.23741,1895586,,,0.878,15.9
Belgium,2009,Developed,79.8,85,0,10.05,97,33,61.6,1,98,98,0.1,4488.5615,1796493,,,0.876,15.8
Belgium,2008,Developed,79.5,87,0,10.47,98,98,61.3,1,99,99,0.1,48424.58927,179973,,,0.874,15.8
Belgium,2007,Developed,79.5,86,0,10.25,94,64,6.9,1,99,98,0.1,4443.83131,16257,,,0.871,15.8
Belgium,2006,Developed,79.4,85,0,10.98,94,15,6.6,1,99,98,0.1,38852.3613,1547958,,,0.865,15.7
Belgium,2005,Developed,78.9,89,0,12.27,77,26,6.2,1,97,97,0.1,36967.28292,1478617,,,0.861,15.7
Belgium,2004,Developed,78.8,91,1,12.05,64,61,59.8,1,96,95,0.1,35589.71295,1421137,,,0.88,
Belgium,2003,Developed,78.3,95,0,11.28,64,44,59.4,1,96,95,0.1,3743.95693,1376133,,,0.878,
Belgium,2002,Developed,78,99,1,11.29,6,0,59,1,96,95,0.1,2552.3328,1332785,,,0.875,
Belgium,2001,Developed,78,1,1,11.01,6,83,58.5,1,96,95,0.1,23121.56635,128657,,,0.873,
Belgium,2000,Developed,77.6,11,1,11.21,6,0,58.1,1,96,95,0.1,2327.4591,125125,,,0.869,
Bhutan,2015,Developing,69.8,211,0,,99,11,24.5,0,98,99,0.5,2613.645177,787386,,,0.604,
Bhutan,2014,Developing,69.4,216,0,0.01,99,0,23.6,1,98,99,0.5,2522.7968,776448,,,0.596,
Bhutan,2013,Developing,69.1,219,0,0.01,97,0,22.7,1,97,97,0.6,235.882889,764961,,,0.589,
Bhutan,2012,Developing,68.7,223,0,0.01,97,1,21.9,1,97,97,0.6,2422.816,752967,,,0.581,
Bhutan,2011,Developing,68.3,225,0,0.23,95,10,21.1,1,95,95,0.5,2458.45976,7451,,,0.572,
Bhutan,2010,Developing,67.9,228,1,0.28,91,21,2.3,1,92,91,0.5,2178.921383,727641,,,0,
Bhutan,2009,Developing,67.4,232,1,0.17,93,6,19.5,1,93,93,0.4,177.234497,714458,,,0,
Bhutan,2008,Developing,67,234,1,0.21,96,7,18.8,1,96,96,0.4,1795.18137,795,,,0,
Bhutan,2007,Developing,66.5,238,1,0.16,95,11,18,1,93,95,0.3,1741.142552,686958,,,0,
Bhutan,2006,Developing,65.8,245,1,0.29,95,2,17.4,1,96,95,0.3,1335.45696,672228,,,0,
Bhutan,2005,Developing,65,254,1,0.73,95,11,16.7,1,95,95,0.3,1247.61392,656639,,,0,
Bhutan,2004,Developing,64.2,263,1,0.96,89,3,16.1,1,9,89,0.3,197.45788,64282,,,0,
Bhutan,2003,Developing,63.3,273,1,0.52,95,0,15.5,1,96,95,0.2,997.7417141,623434,,,0,
Bhutan,2002,Developing,62.5,282,1,0.29,83,27,14.9,1,89,86,0.1,885.6382245,66399,,,0,
Bhutan,2001,Developing,61.7,29,1,0.14,89,756,14.4,1,88,88,0.1,87.9387673,5896,,,0,7.6
Bhutan,2000,Developing,62,312,1,0.17,98,418,13.9,1,98,92,0.1,765.8632358,573416,,,0,7.3
Brazil,2015,Developing,75,142,42,,96,214,56.1,47,98,96,0.1,8757.2622,2596218,,,0.754,15.2
Brazil,2014,Developing,74.8,144,44,7.32,96,876,55.3,49,96,93,0.1,1226.61731,24213133,,,0.747,15.2
Brazil,2013,Developing,74.7,146,46,7.24,96,220,54.5,52,96,97,0.1,12216.9446,2248632,,,0.734,14.2
Brazil,2012,Developing,74.5,148,49,7.55,96,2,53.6,54,96,95,0.1,12291.46685,256983,,,0.73,14.2
Brazil,2011,Developing,74.1,152,51,7.58,98,43,52.8,57,98,99,0.1,13167.47289,198686688,,,0.724,14
Brazil,2010,Developing,73.8,154,54,7.52,96,68,52,61,99,99,0.1,11224.1548,196796269,,,0.716,13.8
Brazil,2009,Developing,73.6,157,57,7.33,99,0,51.1,64,99,99,0.1,8553.3847,194895996,,,0.714,13.8
Brazil,2008,Developing,73.4,158,61,7.21,96,0,5.3,68,99,99,0.1,8787.61375,19297929,,,0.704,13.3
Brazil,2007,Developing,73.3,159,65,7.19,99,0,49.4,73,99,99,0.1,7313.557962,19126637,,,0.7,
Brazil,2006,Developing,73,161,70,7.1,99,57,48.6,79,99,99,0.1,586.145975,18912412,,,0.698,
Brazil,2005,Developing,72.7,163,75,6.97,98,6,47.8,85,99,99,0.1,477.182746,186917361,,,0.694,
Brazil,2004,Developing,72,17,81,6.85,96,0,46.9,93,99,99,0.1,3623.47667,184738458,,,0.695,
Brazil,2003,Developing,71.8,172,88,6.95,97,2,46.1,100,99,99,0.1,359.587582,182482149,,,0.699,
Brazil,2002,Developing,71.4,176,95,7,92,1,45.3,109,99,99,0.1,2819.649531,1815121,,,0.692,
Brazil,2001,Developing,71,179,103,7.13,91,1,44.5,118,99,98,0.1,3146.95177,1777567,,,0.685,
Brazil,2000,Developing,75,183,111,7.26,94,36,43.7,127,99,98,0.1,3739.11936,175287587,,,0.677,
Bulgaria,2015,Developed,74.5,137,0,,92,0,65.7,1,91,91,0.1,6993.47736,7177991,,,0.792,
Bulgaria,2014,Developed,74.3,138,1,12.03,95,0,65.1,1,88,88,0.1,7853.335191,7223938,,,0.787,
Bulgaria,2013,Developed,74.1,14,1,12.06,95,14,64.5,1,95,95,0.1,7674.86559,7265115,,,0.781,
Bulgaria,2012,Developed,73.9,139,1,10.99,95,1,63.9,1,95,95,0.1,7378.25539,735888,,,0.778,
Bulgaria,2011,Developed,73.7,144,1,10.67,96,157,63.3,1,95,95,0.1,7813.83499,7348328,,,0.775,
Bulgaria,2010,Developed,73.4,147,1,10.8,95,22004,62.7,1,94,94,0.1,6843.263289,7395599,,,0.77,
Bulgaria,2009,Developed,73.2,152,1,10.93,96,2249,62.1,1,94,94,0.1,6955.987733,7444443,,,0.768,
Bulgaria,2008,Developed,72.9,155,1,10.98,96,1,61.5,1,96,95,0.1,7296.122479,7492561,,,0.761,
Bulgaria,2007,Developed,72.6,157,1,10.89,95,1,6.9,1,95,95,0.1,5932.899677,7545338,,,0.755,
Bulgaria,2006,Developed,72.2,161,1,10.39,96,1,6.3,1,96,95,0.1,4513.13628,76122,,,0.75,
Bulgaria,2005,Developed,72.1,16,1,10.48,96,3,59.7,1,97,96,0.1,3893.68998,7658972,,,0.745,
Bulgaria,2004,Developed,72.2,157,1,10.96,94,0,59.1,1,94,95,0.1,3381.57837,771686,,,0.738,
Bulgaria,2003,Developed,72,155,1,11.19,96,0,58.6,1,96,96,0.1,271.46824,7775327,,,0.729,
Bulgaria,2002,Developed,71.8,157,1,10.2,88,0,58.1,1,94,93,0.1,287.534843,7837161,,,0.723,
Bulgaria,2001,Developed,71.6,16,1,10.72,93,8,57.5,1,94,94,0.1,1764.97387,89142,,,0.713,
Bulgaria,2000,Developed,71.1,163,1,9.69,94,46,57,1,94,93,0.1,169.28586,817172,,,0.709,
Cambodia,2015,Developing,68.7,174,10,,89,0,19.6,12,87,89,0.2,1163.18977,15517635,,,0.558,
Cambodia,2014,Developing,68.3,179,11,0.01,88,0,18.9,12,87,88,0.2,198.687123,152779,,,0.553,
Cambodia,2013,Developing,67.8,183,11,0.01,83,0,18.2,13,66,83,0.2,128.419568,1522692,,,0.546,
Cambodia,2012,Developing,67.4,186,12,0.01,86,15,17.6,14,84,86,0.3,95.244132,14776866,,,0.54,
Cambodia,2011,Developing,67,19,13,2.12,88,722,17,15,87,88,0.3,882.491462,14537886,,,0.533,
Cambodia,2010,Developing,66.6,192,14,2.2,89,1156,16.4,16,88,89,0.5,785.6928841,143874,,,0.519,
Cambodia,2009,Developing,66.1,195,15,2.13,92,4779,15.9,17,95,94,0.6,738.2326684,14928,,,0.52,
Cambodia,2008,Developing,65.6,199,16,2.24,91,4211,15.3,18,91,91,0.7,745.7877873,138859,,,0.511,
Cambodia,2007,Developing,65,24,16,2.08,82,394,14.8,20,82,82,0.9,631.675789,13676693,,,0.495,
Cambodia,2006,Developing,64.1,216,17,2.03,8,188,14.3,21,8,8,1.1,539.8791529,13474489,,,0.483,
Cambodia,2005,Developing,62.9,234,18,1.99,,264,13.9,22,82,82,1.4,474.2238766,132721,,,0.47,
Cambodia,2004,Developing,61.5,253,19,1.38,,352,13.5,24,86,85,1.7,48.615184,1363377,,,0.458,
Cambodia,2003,Developing,63,268,21,1.44,,653,13.1,26,69,69,1.9,362.4213785,12853124,,,0.445,
Cambodia,2002,Developing,59.3,273,23,1.43,,1361,12.8,29,54,54,2.1,339.676984,12634729,,,0.427,
Cambodia,2001,Developing,58.5,273,25,1.71,,3761,12.4,33,59,6,2.2,321.22634,1242473,,,0.412,
Cambodia,2000,Developing,57.7,274,27,1.51,,12237,12.1,36,62,59,2.1,3.685949,12152354,,,0.401,
Cameroon,2015,Developing,57.3,357,45,,84,1809,29,68,83,84,3.5,1244.429421,22834522,,,0.514,
Cameroon,2014,Developing,56.7,366,47,0.01,87,831,28.4,71,86,87,3.7,1441.1417,2223994,,,0.507,10.4
Cameroon,2013,Developing,56.4,364,48,0.01,89,760,27.8,73,88,89,4,1365.34419,21655715,,,0.501,10.4
Cameroon,2012,Developing,55.9,369,50,0.01,85,609,27.2,76,85,85,4.6,1255.648189,2182383,,,0.496,10.4
Cameroon,2011,Developing,55.6,371,51,6.19,82,504,26.6,79,8,82,4.9,1295.649726,252447,,,0.486,
Cameroon,2010,Developing,55.3,37,53,6.15,84,240,26,82,83,84,5.5,1182.869227,1997495,,,0.48,
Cameroon,2009,Developing,54.8,373,54,5.89,8,251,25.4,85,79,8,6.3,123.19538,19432541,,,0.473,
Cameroon,2008,Developing,54.2,382,56,5.9,84,495,24.9,87,82,84,6.7,1233.524316,18978,,,0.466,
Cameroon,2007,Developing,53.6,395,57,5.44,82,100,24.4,89,81,82,7,111.71186,18395389,,,0.456,
Cameroon,2006,Developing,53.3,394,58,5.22,81,196,23.8,91,78,81,7.2,12.989164,17899562,,,0.456,
Cameroon,2005,Developing,52.8,4,58,5.03,79,605,23.3,93,79,8,7.4,952.1872484,1742795,,,0.456,
Cameroon,2004,Developing,52.1,412,59,4.71,,358,22.8,94,72,73,7.5,93.211716,1695981,,,0.455,
Cameroon,2003,Developing,51.8,412,60,4.64,,899,22.3,95,72,73,7.7,824.8689393,16513822,,,0.452,
Cameroon,2002,Developing,51.6,47,60,4.58,,1448,21.8,97,66,66,7.8,676.397661,1684886,,,0.452,
Cameroon,2001,Developing,51.5,41,61,4.43,,23934,21.3,99,61,63,7.9,614.6729339,15671927,,,0.437,
Cameroon,2000,Developing,51.4,394,62,3.91,,14629,2.9,100,57,62,7.7,68.414399,15274234,,,0.433,
Canada,2015,Developing,82.2,64,2,,55,195,67,2,91,91,0.1,43315.744,3584861,,,0.919,
Canada,2014,Developing,82,65,2,8.1,55,418,66.4,2,91,91,0.1,544.43376,35544564,,,0.912,
Canada,2013,Developing,81.8,67,2,8.2,55,83,65.8,2,91,91,0.1,52413.72116,35155451,,,0.909,
